,sentence,entity,score
19,欣泰电气IPO申请文件中包含的2011年、2012年及2013年上半年财务数据存在虚假记载，不符合《证券法》第十三条规定的“最近三年财务会计文件无虚假记载”的条件，符合“发行人不符合发行条件”和“以欺骗手段骗取发行核准”的要件,['欣泰电气'],[-1]
1,　　知名私募投资人马士高对大智慧通讯社表示，今天市场下跌与上周五证监会立案调查有直接的关系,['大智慧'],[0]
12,不过，自去年9月份至今，短短4个月内，证监会已对陕国投此次配股申请文件进行3次反馈意见，其中包括一次补充反馈意见,['陕国投'],[0]
0,'　　⊙记者 侯利红　　8日晚间发布公告称，控股股东首创集团计划携11.77亿元巨资，在年底前累计增持首创股份股票达5%,['首创股份'],[1]
0,　　与此相伴，一场热火朝天的考评正在中化国际全面展开，这就是该公司一年一度的党建考评工作,['中化国际'],[0]
0,全国人大代表、导演贾樟柯在通道上受访时表示，取得了快速的发展，中国电影可以自信,['中国电影'],[0]
0,随着孙宏斌辞去公司董事长消息的公布，乐视网3月16日和19日连续两个交易日一字跌停,['乐视网'],[-1]
3,　　天风证券指出，无论此前阿里入股高鑫，还是此次报道中腾讯联手永辉超市，都显示出线上资本再度掀起线下收购高潮，新零售进程继续推进,['永辉超市'],[1]
9,在汽车、新能源、轻量化里面，旭升股份都是走在最前面的,['旭升股份'],[1]
2,回查公告，今年4月，神开股份即以“控股股东业祥投资正在筹划涉及上市公司的重大事项，该事项主要涉及拟通过资产注入等多种方式引入战略投资者及其相应业务”为由，宣布停牌,['神开股份'],[1]
2,　　“喜获”腾讯入股，网宿科技股价就要大涨了,['网宿科技'],[1]
2,　　六年前的陆家嘴论坛诞生于全球金融危机爆发之际,['陆家嘴'],[0]
7,　　胜利精密归属于上市公司股东的扣非净利润为负2899.54万元，相比去年由正转负,['胜利精密'],[-1]
42,此外，结合汤臣倍健此前的业绩表现(见表1)不难发现，汤臣倍健在今年一季度的业绩已经大致恢复到了两三年前(2014年和2015年)的水平,['汤臣倍健'],[1]
1,　　一年之内两次大手笔投入MEMS项目，士兰微的用意何在,['士兰微'],[0]
6,郁亮预期，未来万科相关企业的体量和对行业、社会的贡献将达到万亿水准,['万科'],[1]
6,　　然而根据海南椰岛2月22日晚间发布的公告，该增持计划仍未实施，并称系增持主体出于实施期间的整体考虑，后续增持情况将按照内部投资计划逐步实施,['海南椰岛'],[0]
5,由此可见TCL手机目前在国内手机市场中处于相对低端地位，而这样的市场处境长时间的积累将对品牌价值造成难以修复的损害，加之TCL通讯作为TCL集团整旗下上市子公司，2015年贡献了22.85%的营收，但其股价表现一直不佳,['TCL集团'],[-1]
19,　　分析人士认为，这一披露或可窥见当前万科董事会内部的博弈，以及经历了“宝万之争”，乃至深交所对德赢、金鹏资管计划的问询等监管层压力之后，万科公司治理的透明化趋势,['万科'],[0]
0,深交所数据显示，当日三家机构席位合计买入北纬通信合计超过3200万金额,['北纬通信'],[1]
7,1月23日，中国联通发布公告，公司董事会成员拟由7名扩大至13名,['中国联通'],[0]
0,'（原标题：内蒙古包头一居民楼管道煤气泄露：已致3人死亡，1人被送医）\n                新华网呼和浩特12月11日消息，11日上午，内蒙古自治区包头市一管道，已致3人死亡，1人被送往医院救治,['新华网'],[0]
0,　　今日早盘，银行板块快速回调，截至发稿，建设银行跌2.42%，，，，，，，，等股跌超1%,['建设银行'],[-1]
0,另有报道指，亚洲航空(AirAsia)计划以估值10亿美元，放售旗下飞机租赁公司AsiaAviationCapital大部分股权，潜在投资者据报包括海南航空、（3968）及长和（0001）主席,['海南航空'],[0]
0,另一方面是风控，这个是依据人工智能和大数据结合来实现的，依靠多维度的海量数据，实现个性、精准地个人信誉体系的建立,['海量数据'],[0]
8,　　　　即便业绩预增被更正，永安行2017年实现的归母净利润的增长幅度还是超过了300%，这对于永安行来说似乎是一个不错的表现,['永安行'],[1]
3,　　为了加快项目建设进度，益丰药房拟将该项目剩余投资额中的2.44亿元由新建连锁药店实施方式调整为收购连锁药店方式,['益丰药房'],[0]
4,　　由于这一违规行为，在2015年4月3日至2015年6月4日期间买入金亚科技且2015年6月4日仍持有该股票的投资者，有资格向上市公司索赔,['金亚科技'],[-1]
15,　　实际上，在万科A、B股停牌期间，一些持仓万科A较多的基金即发布了按“指数收益法”进行估值的公告,['万科'],[0]
0,截至发稿，中国重工涨停，涨逾8%，涨逾6%，涨近6%，、均涨逾4%,['中国重工'],[1]
0,但是临近尾市，风云突变，大盘蓝筹异军突起，尤其是中石油、中石化、、中信银行等个股快速上攻，甚至中信银行、等涨停或接近涨停，护盘的力度明显增大，我们预计最近空头势力正盛，可能是国家队出手暴力护盘,['中信银行'],[1]
0,  视觉中国 资料图被联想教父亲手送进监狱，又带着他给的启动资金创业，22年后孙宏斌与柳传志再次交集，这一次他将联想旗下的地产业务收入囊中,['视觉中国'],[0]
10,”　　　　据2016年报，乐普医疗的主营业务收入占其总营收的55.83%，其中支架系统占比为27.83%，其他主营业务占比为25.06%,['乐普医疗'],[0]
23,　　随着新中产的迅速崛起，居住品质改善时代来临，招商蛇口此次首发的住宅产品线“成就系”就是为中产崛起而特别打造的“舒适的好空间&有品位的好资产”,['招商蛇口'],[0]
1,　　乐视网会走出多少个跌停,['乐视网'],[-1]
1,万科总裁郁亮也说，做“最受尊敬的城市配套服务商”是万科的新定位，要对客户好，并且要好得极致，把住在万科房子里的老人和孩子都照顾好,['万科'],[0]
0,　　鸿达兴业高管表示，2014年公司利润增长主要有三个来源：一、配套电石项目投产后，实现电石全部自给，将明显降低生产成本；二、西部环保的环保产品开始贡献利润，目前电厂环保脱硫剂已供应市场，土壤改良剂已试制成功，目前正在进行试验和办理相关证件；三、中谷矿业“30万吨PVC、30万吨烧碱项目”预计于2014年第三季度投产，将实现业绩增长，同时能贡献利润,['鸿达兴业'],[1]
11,发布研报称，预计中兴通讯将从2018年5G电信网络发展中受益，“由于5G网络设备的贡献，预计中兴在2018至2019财年的毛将分别升0.8个百分点、0.3 个百分点至30.4%和30.7%,['中兴通讯'],[1]
26,长城汽车一直宣称SUV来自于皮卡，最终不过是厢式车的技术，其实并没有掌握轿车技术,['长城汽车'],[-1]
0,这些因素使得整个行业告别了之前长达近十年的黄金增长期，而白酒股股价更是节节下跌，甚至贵州茅台也一度让出了“第一高价股”的宝座,['贵州茅台'],[-1]
1,一些重仓持有乐视网股票的纷纷调低乐视网的估值，将乐视网的估值最低下调到3.91元，以转增后乐视网停牌时的15.33元计算，乐视网估值下跌近75%，约相当于复牌后13个跌停,['乐视网'],[-1]
9,　　（《草案》披露）　　（新三板 2016年中报）　　风云君（ID：mvlegend）只想知道，如此一个疑点重重的公司，是怎么被华东重机挑中的,['华东重机'],[0]
12,　　连续两年减持套现　　承运投资和作为天宝食品董事长兼总经理的黄作庆，不仅将所持天宝食品股份进行质押融资，同时亦持续通过减持套现,['天宝食品'],[-1]
0,粤传媒跌5.11%、跌2.66%、跌2.45%、跌2.05%、跌0.56%,['粤传媒'],[-1]
4,　　值得注意的是，与另外8家股东不同，乐普医疗确定参股北京人寿的时间并不长,['乐普医疗'],[0]
5,目前公司2017-2019 年PB 分别为0.98X、0.86X、0.74XPB，我们认为上海银行在城商行中理应享有溢价，主要原因在于：(1)解禁后一周交易量为5.7 亿股(剔除正常情况下日均交易量)，占自然人股东份的73.1%，自然人股东抛售大部分出清，扰动公司股价走势的负面情绪基本消除；(2)息差拐点显现，18 年将显著走阔；(3)不良认定严格，拨备计提充足；(4)加码布局消费金融及科创金融将成为推动公司未来业绩增长的新动力,['上海银行'],[1]
11,因此，出现了机构和游资抢筹万科A、的景象,['万科'],[1]
2,　　　　3月12日晚间，胜利精密年报出炉,['胜利精密'],[0]
0,　　统计数据显示，10月买方席位为机构的大宗交易共计53笔，其中获得机构买入最多的为中国平安，机构在33元/股附近，累计买入近21亿元，而上周五(10月30日)中国平安33.49元/股的收盘价，尚在这部分机构资金的成本价附近,['中国平安'],[1]
2,”海马汽车公关部部长黄正华在接受《中国经营报》记者采访时坦言，“我们承认也愿意直面自身的问题，可能海马汽车没有合资品牌的一些资源，但是在研发和技术方面也一直在努力,['海马汽车'],[1]
0,　　聚焦现实题材　　2018年是柠萌现实主义创作的大年，发布会上，《小欢喜》《小舍得》《长大成人》《三十而已》《金融街没有爱情》《猎狐》六部现实题材新剧一一亮相,['金融街'],[0]
0,近一年的“北上资金前十大活跃个股”情况显示，累计净买入金额前十名分别是、、、、中国平安、、、、、，这些公司市值大多都在1000亿元以上,['中国平安'],[1]
21,在未结款中，新世界百货方面还提出，以场地置换的易货形式抵偿,['新世界'],[0]
1,　　该年报数据显示，比亚迪2017年营业收入为1059.2 亿元，同比增长2.4%；归属母公司净利润40.7 亿元，同比下降19.5%；扣非归母净利润29.87亿，同比下降35.26%,['比亚迪'],[-1]
1,　　可见，科大讯飞的智慧法院检察院系统是全国乃至全球领先的；相反，杭州作为阿里的大本营如果都不把单子给他，那恐怕阿里这个部门马上就得关门了,['科大讯飞'],[1]
0,'　　6月7日，被外界称为“共享单车第一股”的永安行与海归专家顾泰来的专利诉讼，在苏州中院有了一审判决结果：被告永安行的共享单车系统和公共自行车系统不涉嫌侵权，驳回原告顾泰来的诉讼请求,['永安行'],[1]
0,'　　    　　据交易所安排，白银有色(601212)、欣天科技(300615)、宣亚国际(300612)今日启动网上网下申购,['白银有色'],[0]
56,　　至此，莎普爱思的股东增加至4位,['莎普爱思'],[0]
9,　　记者注意到，成飞集成此次拟提供财务资助的对方金沙资管其实与成飞集成颇有渊源,['成飞集成'],[0]
2,　　*ST新亿目前的控股股东在回复上交所问询时，直言重整投资人意欲夺取公司实控权,['ST新亿'],[0]
27,　　对于上述“亿元债”的形成，华塑控股曾在回复深交所的关注函中表示，源于公司与四川德瑞房地产有限公司的合同纠纷,['华塑控股'],[-1]
0,为此兴业证券策略团队为您带来最新深入分析与解读,['兴业证券'],[0]
14,　　渤海信托+宁波伟彤，上市公司基本锁定为中捷资源，正所谓屋漏偏逢连夜雨，这边定增往前一步甚难，偏偏还有人往后拽,['中捷资源'],[-1]
6,”　　2参加本次乐视网股东大会的股东多不多,['乐视网'],[0]
7,　　与成飞集成的流通股东名单频繁变换不同，公司自身业绩却保持稳定上涨的态势,['成飞集成'],[1]
15,假如沈国英女士选择在老板电器发布了业绩快报之后再实施减持，将少卖2000万元以上,['老板电器'],[-1]
19,在乐视网债务情况和重组不明的情况下，这意味着市场风险并无泄洪，反而有所集聚,['乐视网'],[-1]
3,　　目前由珠海喜马明珠新媒体有限公司负责运营的“董明珠自媒体”，就取得格力电器对于董明珠商标使用授权,['格力电器'],[0]
8,　　贵州茅台很傲娇，销售费用率如此之低，营收和净利润增长情况如何,['贵州茅台'],[0]
3,　　在2015年半年度业绩预告修正里，爱迪尔是这么解释的：　　看来，互联网+珠宝开放平台很关键，在回复深交所的问询函里公司对平台寄予了很高的期望，预计增收7.79亿元，最终实现利润总额1.1245亿元,['爱迪尔'],[1]
0,　　（图片来源：Wind）　　不仅如此，万科A年初至今的涨幅已近30%，且连续数个交易日霸占全球房企市值榜首，力压排名二、三的美国房企巨头,['万科'],[1]
8,　　深度“触及生活” 与特色服务做乘法 　　在手机上就可以免费缴违章罚款、代办车辆年检；走进地铁，挥一挥手机就能进站……在很多人的印象中，还很难将这些让人眼前一亮的服务和直销银行挂钩起来，然而记者注意到，这确确实实是来自江苏银行直销银行的特色创新服务,['江苏银行'],[1]
0,　　尽管光大银行利润有较大幅度回升，但反映盈利能力的指标显示，该行去年平均总资产收益率(ROAA)为0.78%，同比下降0.07个百分点；加权平均净资产收益率(ROE)12.75%，同比下降1.05个百分点,['光大银行'],[-1]
2,　　孙宏斌在日前接受采访时透露，乐视网目前极度缺乏资金，已经资不抵债，75亿元债权今年很多要到期，其中大多都是乐视网非上市体系对上市公司的欠款，就算变卖核心资产也不够还债,['乐视网'],[-1]
15,乐视网不仅在IPO的过程中存在虚假陈述嫌疑，而且上市后市场对其财务造假的质疑也从未间断过,['乐视网'],[-1]
0,当前建议投资者布局景气度高、业绩有保证的手游板块，推荐、、、、昆仑万维,['昆仑万维'],[1]
9,　　在对两票制的预判下，瑞康医药开始在全国加速扩张，将山东的直销模式在全国各省份复制，公司这两年的净利润实现了迅猛增长,['瑞康医药'],[1]
3,　　另外，与刘淑青新选任为乐视网总经理一同发布了另一个高级管理人员变动公告，刘宏因个人原因申请辞去乐视网副总经理职务，这一辞职申请已经得到了乐视网董事会许可生效,['乐视网'],[0]
0,　　上述深圳基金称，自3月12日起，对旗下基金持有的停牌股票“信威集团”进行估值调整，估值价格调整为10.64元，以停牌前的股价14.59元计算，下调了27.07%,['信威集团'],[-1]
0,、、首创股份分别是基建、建材和生态治理方面的国企龙头，联合体不久前中标了雄安一地块的造林项目,['首创股份'],[0]
0,　　国泰君安总经济师、首席经济学家( )：3月份CPI估计在5.3%，二季度CPI估计在5%以上，故央行选择了加息,['国泰君安'],[0]
0,据报道，泸州老窖高度产品计划外执行价由740元/瓶上涨70元，达到810元/瓶,['泸州老窖'],[0]
12,但是在这过程中，过于强调长期持有，想象未来可以看高到多少元，而完全无视其当前收益率、市净率已经明显偏高的事实，就有点忽悠的成分了，贵州茅台在分红前开始下跌的事实，正是在提醒我们这一点,['贵州茅台'],[-1]
0,险资举牌蓝筹躁动，年底券商卖方分析师掀起看多热潮，恒大二次举牌万科、安邦二次举牌，格力、伊利等蓝筹股升势明显,['万科'],[1]
3,照此计算，光大证券手中持有的这些成份股金额仍有53.8亿元,['光大证券'],[0]
4,”作为具体支持，在本次股东大会上，水电地产向南国置业提供不超过23亿元的委托贷款亦获通过,['南国置业'],[0]
13,　　加大投放量和提前发货时间，无疑让贵州茅台提前透支了销量,['贵州茅台'],[-1]
23,到了11月12日，联通与在杭州举行战略合作签约仪式，宣布与阿里巴巴在基础通信服务、移动互联网及产业互联网等领域展开深入合作，中国联通董事长王晓初、总经理陆益民，阿里巴巴集团董事长、CEO张勇等高管联袂出席,['中国联通'],[1]
0,光线传媒拟以33.17亿元的总价，转让所持全部新丽传媒27.64%股权，接手方为林芝腾讯,['光线传媒'],[0]
16,对于经销商的猜测，燕塘内部人士表示，2017年初发现风行存在包装侵权问题，据经销商反映，风行乳业涉诉产品令消费者产生了混淆，对燕塘乳业同类产品销售造成了一定影响,['燕塘乳业'],[-1]
17,　　时间回到2014年，南风股份收购中兴装备后，由于合并范围增加，令南风股份的经营现金流量净额大幅上涨,['南风股份'],[1]
1,加上同受紫光集团控制的西藏春华、西藏通信、健坤投资所持的股权，目前紫光集团及一致行动人持股比例超过20%，第四次举牌文一科技，“叫板”第一大股东,['文一科技'],[1]
13,2016 年，由“道博股份”更名为“当代明诚”,['当代明诚'],[0]
2,　　今年10月23日，浦发银行发行股份购买资产暨关联交易事项获得证监会审核通过，浦发银行拟向上海国际集团、上海久事、等发行近10亿股股份，购买其合计持有的上海信托97.33%股权，交易金额约163.5亿元,['浦发银行'],[1]
4,2017年9月19日，升达林业发布公告称，升达集团及其自然人股东江昌政、江山父子等人与保和堂签署了《增资协议》，保和堂向升达集团进行增资，增资金额为9亿元，并承接升达集团负债22亿元，合计需向升达集团支付31亿元,['升达林业'],[1]
0,　　中信银行1月28日晚间公告称，近日公司兰州分行发生票据业务风险事件,['中信银行'],[0]
0,3月21日，第一批通过一致性评价的3个挂网采购品种(5个品规)通过“上海市医药采购服务与监管信息系统”向医院推送，22日起生效议价，信立泰75mg泰嘉位列其中,['信立泰'],[0]
13,　　然而到了2018年1月，乐视网召开投资者说明会，老贾早已在美国半年没回来了，孙宏斌已不再意气风发：“做生意总是有赚有赔，做任何事情都有风险”,['乐视网'],[0]
17,　　而此次八达园林融资遇阻对于美丽生态而言，影响也不容小觑,['美丽生态'],[-1]
0,'　　在下半年股东大会召开的前夜，贵州茅台(600519，SH)发布了亮丽的三季报，超出市场预期，而超预期的业绩也迅速“垫高”了全年业绩增速,['贵州茅台'],[1]
14,　　经多方了解和查询，目前国内疫苗市场真实情况是：沃森生物13价疫苗和2价及9价HPV的研发，也是紧跟外企步伐，自主研发并紧紧跟随，还谈不上领先和超越，虽然国内市场和需求量巨大，但也不一定是沃森生物能异军突起，一枝独秀,['沃森生物'],[1]
0,'　　不止是法拉第未来，遭遇董事长请辞的乐视网，也在近期展开了大规模招聘,['乐视网'],[0]
0,　　昨天早晨，达哥在早评文章中，在开盘前第一时间就给大家分享了贵州茅台公布的三季报,['贵州茅台'],[0]
0,　　实际上，腾讯曾和三一重工合作打造出中国首个本地化的工业互联网平台,['三一重工'],[1]
1,终盘，獐子岛股价以下跌1.44%报收，结束了因底播虾夷扇贝遭灾造成8亿多元损失带来的股价连续跌停,['獐子岛'],[-1]
15,　　为什么蓝色光标近年来逐渐失去了资本市场的青睐,['蓝色光标'],[-1]
1,　　对于业绩增长，中兴通讯认为，受益于全球运营商在电信网络的持续投入、海外手机及政企市场的开拓,['中兴通讯'],[1]
21,　　2018年3月，易联众又与金融服务行业独角兽蚂蚁金服“联姻”，双方将进行深度合作，涵盖该公司的大部分业务,['易联众'],[1]
2,对于远洋养老而言，中国人寿强大的品牌影响力和广泛的客户基础，将有利于远洋养老规模的快速扩张,['中国人寿'],[1]
11,　　刘姝威在公开信中表示，作为万科独立董事，出于维护公司整体利益，尤其要关注中小股东合法权益不受损害，于是才请求监管部门命令钜盛华将已经到期的7个资管计划立即清盘,['万科'],[0]
0,'　　　深圳乐丰投资管理有限公司（以下简称“乐丰投资”）于2016年4月斥资近5亿元和一致行动人北京凤凰财鑫股权投资中心（有限合伙）（以下简称“凤凰财鑫”）高调“上位”达意隆（002209）控股股东，曾信誓旦旦要为达意隆注入互金及相关行业的优质资产，提高公司的盈利能力，然而却未能成行,['达意隆'],[-1]
1,　　12月8日，位于浙江平湖的莎普爱思（603168.SH）发布继续停牌公告,['莎普爱思'],[0]
0,深交所要求乐心医疗披露：公司目前关于区块链技术的研究和应用情况；拟在区块链实验室的资金投入；设立区块链实验室的事项及金额是否达到披露标准，如果没有达到，选择性披露该信息是否存在主动迎合市场热点、炒作公司股价的意图,['乐心医疗'],[0]
8,　　不过从昨天晚间乐视网公布的核查结果公告来看，并没有发现什么特别的情形,['乐视网'],[-0]
0,”国泰君安业务员告诉记者，“沪港通开通初期成交量及额度使用量相对较低，2015年随着内地投资者对沪港通的了解加深，投资额度会逐步升高,['国泰君安'],[0]
0,　　有魄力也得有实力，共进股份实力如何呢,['共进股份'],[0]
0,　　消息方面，耗时一年，诺普信于1月7日完成其1.8亿元回购计划，回购金额仅为281.13万元，占比不足2%,['诺普信'],[-1]
16,根据公司此前披露《关于公司对控股子公司增资暨关联交易的公告》(公告编号：2018-007)，如按照本次增资计划完成后，新乐视智家仍为乐视网的控股子公司,['乐视网'],[0]
13,公开信息显示，*ST吉恩公司控股股东为吉林昊融集团股份有限公司，而吉林省国资委控制吉林昊融集团16.98%的股权,['ST吉恩'],[0]
3,孙宏斌因工作安排调整原因向公司申请辞去乐视网董事长职务，退出董事会，并不再在乐视网担任任何职务,['乐视网'],[-1]
3,贵州茅台26日公布的三季报显示，该公司第三季度实现净利润87.3亿元，同比上涨138%；前三季度实现净利润199.8亿元，同比增长60.3%,['贵州茅台'],[1]
1,由此，蔡开福牵线浔兴股份卖壳交易的利益动机乍现,['浔兴股份'],[0]
31,　　2014年9月26日邦讯技术公告，终止该重组,['邦讯技术'],[-1]
0,　　保险股午后继续拉升，截至发稿板块内4只个股全都实现上涨，板块整体上涨2.05%，新华保险上涨逾3%，、上涨逾2%,['新华保险'],[1]
17,　　章建平是在2016年8月份通过定增加入的乐视网，当时其耗资11.2亿参与认购，认购价格为45.01元/股,['乐视网'],[0]
1,”比亚迪的一位高管对21世纪经济报道记者称，比亚迪的调整将涉及到组织架构梳理、公司行为方式和内部治理，以及公司上下发展理念的统一等问题,['比亚迪'],[0]
15,根据3月16日公告，承德露露拟向全体股东分派现金红利约4.89亿元，分红比例约118.3%，一年的净利润还不够股东分红,['承德露露'],[-1]
9,”既然起码在短时间内，投资保险业不是一门好生意，那么安信信托为何情有独钟,['安信信托'],[0]
0,具体来看，去年底持有汇添富医药保健较多的国信金理财经典组合和申银万国3号基金宝持有份额不变，招商基金宝二期、华泰紫金2号和国泰君安君得益二号新进逾8000万份，广发理财4号、光大阳光基中宝赎回了之前持有的份额,['国泰君安'],[0]
4,　　事实上，自2011年以来，双汇发展每次分配方案的派息都超过1.1元/股,['双汇发展'],[0]
1,　　11月22日早盘，科大讯飞再创历史新高，报74.76元/股，市值突破千亿大关，不过午后科大讯飞股价回落，市值又跌破千亿,['科大讯飞'],[-1]
0,'　　《证券期货投资者适当性管理办法》于2017年7月1日起正式实施，通过本微信订阅号发布的观点和信息仅供的专业投资者参考，完整的投资观点应以海通证券研究所发布的完整报告为准,['海通证券'],[0]
23,当记者问及贵州茅台股价何时才能见顶时，他认为，茅台酒的零售价下调之日便是贵州茅台股价见顶之时,['贵州茅台'],[0]
16,彼时曾任万科总裁的郁亮曾将其2013年全部收入700多万元买入万科股票，但对于万科而言杯水车薪，不足以达到提振效果,['万科'],[-1]
50,对此，乐视网表示，公司将努力恢复经营，保障公司的持续发展,['乐视网'],[1]
8,　　泰禾集团随后于12月26日停牌，并回复深交所表示，黄其森言论未违反上市公司信息披露的规定，2018年2000亿的销售目标是基于目前公司的土地储备情况、项目储备情况、项目拓展能力、投资进展、管理能力、销售能力、回款进度等做出的判断，属于董事长对公司发展的目标和愿景，不构成本公司的预测和承诺,['泰禾集团'],[0]
3,　　另外，申万宏源投资策略报告中提到的一些细分领域的观点也一并分享：　　1、从“制造+中国领先”的角度推荐5G、光伏、高铁、军工和AI的投资机会；　　2、继续从“创新+景气”的角度推荐电子和新能源汽车；　　3、明年金融板块仍值得底仓配置，岁末年初金融和房地产板块就可能贡献明显的相对收益；　　4、周期的投资机会可能需等待明年3月至4月采暖季限产逐步退出时刻，经济增长验证的超预期；　　5、明年一季度通胀绝对水平较高的阶段，部分消费龙头依旧存在结构性机会，特别是大众消费、低端消费的投资机会；　　6、明年是改革大年，也必然是政策性主题的大年，重点关注乡镇振兴、自贸港和租售同权的投资机会,['申万宏源'],[0]
12,金风科技称，其在国内风电设备 制造商中连续七年排名第一，在全球风电市场连续三年名列前三,['金风科技'],[1]
0,作为大盘蓝筹股，中国平安与深发展今日的复牌表现，备受市场关注,['中国平安'],[1]
14,从2002年开始，东阿阿胶投资2亿多元先后在山东、辽宁、新疆、内蒙古等地建立了多个“标准化养驴示范基地”，2017年，毛驴全产业链项目列入山东省重点项目,['东阿阿胶'],[1]
2,据工商银行常州分行的办公室孟主任介绍，此次发行的是猴年纪念币，面值为10元,['工商银行'],[0]
27,　　每经影视记者询问唐德影视赵薇入股后对公司的实际业务到底有哪些帮助,['唐德影视'],[0]
0,振华股份发行价6.13元，发行市盈率22.98倍，发行股份数量为5500.00万股，其中网上发行2200.00万股，占本次发行总量的40.00%,['振华股份'],[0]
4,具体来看，星源材质的产品包括单层、双层和多层干法以及湿法等规格较为齐全的锂离子电池隔膜,['星源材质'],[0]
